time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
2757,0,-0.0435,stop,2,50,1,2,2,1
2873,0.677083,0.0986,start,3,1,2,3,2,1
2874,0.789931,0.1102,start,3,2,2,3,2,1
2875,0.898438,0.1247,start,3,3,2,3,2,1
2876,1.037326,0.1421,start,3,4,2,3,2,1
2877,1.189236,0.1566,start,3,5,2,3,2,1
2878,1.349826,0.1798,start,3,6,2,3,2,1
2879,1.519097,0.1972,start,3,7,2,3,2,1
2880,1.71007,0.2059,start,3,8,2,3,2,1
2881,1.922743,0.2117,start,3,9,2,3,2,1
2882,2.131077,0.2059,start,3,10,2,3,2,1
2883,2.326389,0.2001,start,3,11,2,3,2,1
2884,2.5,0.1972,start,3,12,2,3,2,1
2885,2.65191,0.1595,start,3,13,2,3,2,1
2886,2.782118,0.1189,start,3,14,2,3,2,1
2887,2.890625,0.0986,start,3,15,2,3,2,1
2888,2.96441,0.087,start,3,16,2,3,2,1
2889,3.012153,0.0493,start,3,17,2,3,2,1
2890,3.033854,0.0232,start,3,18,2,3,2,1
2891,3.038195,0,start,3,19,2,3,2,1
2892,3.046875,0,start,3,20,2,3,2,1
2893,3.033854,-0.0116,start,3,21,2,3,2,1
2894,3.033854,-0.0116,start,3,22,2,3,2,1
2895,3.029514,-0.0029,start,3,23,2,3,2,1
2896,3.016493,0,start,3,24,2,3,2,1
2897,3.016493,0,start,3,25,2,3,2,1
2898,3.029514,0.0116,start,3,26,2,3,2,1
2899,3.038195,0.0174,start,3,27,2,3,2,1
2900,3.046875,0.0116,start,3,28,2,3,2,1
2901,3.051215,0.0145,start,3,29,2,3,2,1
2902,3.059896,0.0087,start,3,30,2,3,2,1
2903,3.072917,0.0087,start,3,31,2,3,2,1
2904,3.068577,0.0174,start,3,32,2,3,2,1
2905,3.094618,0.0203,start,3,33,2,3,2,1
2906,3.11632,0.0232,start,3,34,2,3,2,1
2907,3.133681,0.029,start,3,35,2,3,2,1
2908,3.172743,0.0435,start,3,36,2,3,2,1
2909,3.203125,0.0522,start,3,37,2,3,2,1
2910,3.263889,0.0638,start,3,38,2,3,2,1
2911,3.324653,0.0754,start,3,39,2,3,2,1
2912, ,0.0725,start,3,40,2,3,2,1
2913,3.450521,0.0783,start,3,41,2,3,2,1
2914,3.519965,0.0812,start,3,42,2,3,2,1
2915,3.58941,0.0783,start,3,43,2,3,2,1
2916,3.645833,0.0754,start,3,44,2,3,2,1
2917,3.719618,0.0609,start,3,45,2,3,2,1
2918,3.776042,0.0551,start,3,46,2,3,2,1
2919,3.828125,0.0551,start,3,47,2,3,2,1
2920,3.871528,0.0551,start,3,48,2,3,2,1
2921,3.919271,0.058,start,3,49,2,3,2,1
2922,3.980035,0.0609,start,3,50,2,3,2,1
3087,5.976563,-0.1711,stop,4,1,2,4,2,1
3088,5.785591,-0.1711,stop,4,2,2,4,2,1
3089,5.607639,-0.1711,stop,4,3,2,4,2,1
3090,5.425347,-0.1508,stop,4,4,2,4,2,1
3091, ,-0.1653,stop,4,5,2,4,2,1
3092,5.052083,-0.1827,stop,4,6,2,4,2,1
3093,4.874132,-0.1798,stop,4,7,2,4,2,1
3094,4.674479,-0.1682,stop,4,8,2,4,2,1
3095,4.513889,-0.1392,stop,4,9,2,4,2,1
3096,4.318577,-0.1247,stop,4,10,2,4,2,1
3097,4.179688,-0.1305,stop,4,11,2,4,2,1
3098,4.023438,-0.1218,stop,4,12,2,4,2,1
3099,3.880208,-0.1131,stop,4,13,2,4,2,1
3100,3.75434,-0.0638,stop,4,14,2,4,2,1
3101,3.676215,-0.058,stop,4,15,2,4,2,1
3102,3.58941,-0.058,stop,4,16,2,4,2,1
3103,3.528646,-0.0522,stop,4,17,2,4,2,1
3104,3.420139,-0.0464,stop,4,18,2,4,2,1
3105,3.342014,-0.0609,stop,4,19,2,4,2,1
3106,3.250868,-0.0812,stop,4,20,2,4,2,1
3107,3.138021,-0.0899,stop,4,21,2,4,2,1
3108, ,-0.0986,stop,4,22,2,4,2,1
3109,2.907986,-0.0986,stop,4,23,2,4,2,1
3110,2.764757,-0.1102,stop,4,24,2,4,2,1
3111,2.634549,-0.1247,stop,4,25,2,4,2,1
3112,2.49566,-0.1247,stop,4,26,2,4,2,1
3113,2.352431,-0.1363,stop,4,27,2,4,2,1
3114,2.17882,-0.1247,stop,4,28,2,4,2,1
3115,2.013889,-0.1276,stop,4,29,2,4,2,1
3116,1.875,-0.1247,stop,4,30,2,4,2,1
3117,1.744792,-0.1102,stop,4,31,2,4,2,1
3118,1.592882,-0.1102,stop,4,32,2,4,2,1
