System.Time_Stamp,vtti.timestamp,FOT_Control.Speed,Head_Unit.Longitude,Head_Unit.Latitude,Head_Unit.MSL_Altitude,IMU.Gyro_X,IMU.Gyro_Y,IMU.Gyro_Z,IMU.Accel_X,IMU.Accel_Y,IMU.Accel_Z
79,9500,0, , , ,0,-0.325195,-0.325195,0,-0.0087,-0.9889
80,9599,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9947
81,9700,0, , , ,0.325195,0,0,0.0029,-0.0058,-0.9889
82,9799,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0087,-0.9889
83,9900,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
84,9999,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
85,10100,0, , , ,-0.325195,0,-0.325195,0,-0.0058,-0.9889
86,10200,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
87,10300,0, , , , , , ,0,-0.0058,-0.9889
88,10399,0,121.500923,31.288059,4,-0.325195,-0.325195,0,0,-0.0058,-0.9889
89,10500,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9947
90,10599,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0087,-0.9889
91,10700,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
92,10799,0, , , ,-0.325195,-0.325195,0,0,-0.0058,-0.9918
93,10900,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0087,-0.9918
94,10999,0, , , ,0,0,-0.325195,0,-0.0087,-0.986
95,11100,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
96,11200,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
97,11300, , , , , , , ,0.0029,-0.0058,-0.9889
98,11399,0,121.500801,31.287991,4,-0.325195,-0.325195,-0.325195,0,-0.0058,-0.9918
99,11500,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
100,11599,0, , , ,-0.650391,0,0,0.0029,-0.0087,-0.9918
101,11700,0, , , ,-0.325195,0,-0.325195,0,-0.0058,-0.9889
102,11799,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
103,11900,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0087,-0.9947
104,11999,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
105,12100,0, , , ,-0.650391,-0.325195,0,0,-0.0058,-0.986
106,12200,0, , , ,0,0,0,0.0029,-0.0087,-0.9947
107,12300,0, , , , , , ,0.0029,-0.0058,-0.9889
108,12399,0, , , ,0,-0.325195,-0.325195,0,-0.0058,-0.9889
109,12500,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0087,-0.9918
110,12599,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
111,12700,0, , , ,0,-0.325195,-0.325195,0,-0.0087,-0.9889
112,12799,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9889
113,12900, , , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
114,12999,0, , , ,-0.325195,0,-0.325195,0,-0.0058,-0.9918
115,13100,0,121.500801,31.287992,4,-0.325195,0,0,0.0058,-0.0087,-0.9918
116,13200,0, , , ,-0.325195,0,-0.325195,0,-0.0058,-0.9889
117,13300,0, , , , , , ,0,-0.0029,-0.9918
118,13399,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9889
119,13500,0, , , ,0.325195,0,0,0,-0.0087,-0.9918
120,13599,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0058,-0.9889
121,13700,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
122,13799,0, , , ,0,-0.325195,-0.325195,0,-0.0087,-0.9918
123,13900,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
124,13999,0, , , ,0,0,-0.325195,0,-0.0058,-0.9918
125,14100,0,121.500771,31.287979,4,-0.325195,0,-0.325195,0,-0.0087,-0.9918
126,14200,0, , , ,0,0,-0.325195,0.0029,-0.0087,-0.9889
127,14300,0, , , , , , ,0,-0.0058,-0.9918
128,14399, , , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9947
129,14500,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9889
130,14599,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9889
131,14700,0, , , ,-0.325195,0,0,0,-0.0029,-0.9918
132,14799,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
133,14900,0, , , ,-0.325195,0,-0.325195,0,-0.0087,-0.9889
134,14999,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
135,15100,0,121.500641,31.287907,4,-0.325195,0,-0.325195,0.0058,-0.0058,-0.9918
136,15199,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0087,-0.986
137,15300,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
138,15400,0, , , , , , ,0.0058,-0.0058,-0.9918
139,15499,0, , , ,-0.325195,0,0,0,-0.0058,-0.9889
140,15600,0, , , ,-0.325195,-0.325195,-0.325195,0.0058,-0.0058,-0.9918
141,15699,0, , , ,0.650391,-0.325195,-0.325195,0.0029,-0.0058,-0.9947
142,15800,0, , , ,-0.650391,-0.325195,0,0,-0.0058,-0.9889
143,15899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.986
144,16000,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
145,16099,0,121.500641,31.287907,4,-0.325195,-0.325195,0,0,-0.0058,-0.9918
146,16200,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0058,-0.986
147,16300,0, , , ,-0.325195,-0.325195,-0.325195,0.0174,-0.0087,-0.9918
148,16400,0, , , , , , ,0.0029,-0.0058,-0.9918
149,16499,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.986
150,16600,0, , , ,-0.650391,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
151,16699,0, , , ,-0.325195,0,-0.325195,0.0116,-0.0087,-0.9918
152,16800, , , , ,-0.325195,0,-0.650391,0,-0.0058,-0.9773
153,16899,0, , , ,-0.325195,0,0,0,-0.0058,-0.9976
154,17000,0, , , ,0,0,0,0.0029,-0.0087,-0.9976
155,17099,0,121.501411,31.286873,141,-0.325195,-0.325195,0,0,-0.0087,-0.9889
156,17200,0, , , ,-0.650391,0,-0.325195,0.0087,-0.0058,-0.9918
157,17300,0, , , ,-0.325195,0,-0.325195,0.0058,-0.0058,-0.986
158,17400,0, , , , , , ,0.0029,-0.0116,-0.9947
159,17500,0, , , ,-0.650391,0,0, , , 
160,17599,0, , , ,-0.650391,0,-0.325195,0.0058,-0.0058,-0.9889
161,17700,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9947
162,17799,0,121.50145,31.286734,141,0,0,-0.325195,0.0029,-0.0058,-0.9889
163,17900,0, , , ,-0.650391,0,-0.325195,0.0058,-0.0058,-0.9918
164,17999,0, , , ,0,0,0,0.0029,-0.0087,-0.9918
